Geografija;8;Antanas;Kurioje JAV valstijoje yra miestas Nešvilis?;Vašingtone;Tenesyje;Džordžijoje;Kolorade;Tenesyje
Sportas;8;Antanas;Su kokiu sportu asocijuojamas Sachin Tendulkar?;Boksu;Golfu;Futbolu;Kriketu;Kriketu
Geografija;5;Aloyzas;Kas yra Šveicarijos sostinė;Ciurichas;Ženeva;Bernas;Lozana;Bernas
Muzika;4;Martynas;Miuziklas „Hamilton“ tapo vienu žymiausiu visų laikų muzikinio teatro pasirodymų nuo debiuto 2015 metais, tačiau kuo vardu jį parašęs dramaturgas?;Lin-Manuel Miranda;Kenneth Lonergan;Lynn Nottage;Andrew Bovell;Lin-Manuel Miranda
Įžymybės;10;Antanas;Koks reperio P Diddy tikrasis vardas?;Sean Combs;Shawn Carter;Curtis Jackson;Earl Simmons;Sean Combs
Įžymybės;2;Martynas;Kuris britų aktorius vaidins „betmeną“ netrukus pasirodysiančiame filme kurį režisuoja Matt Reeves?;Robert Pattinson;Nicholas Hoult;Tom Hiddleston;James McAvoy;Robert Pattinson
Muzika;10;Aloyzas;Kuriais metais grupė „The Beatles“ pirmą kartą atvyko į JAV?;1972;1964;1969;1962;1964
Muzika;1;Martynas;Kaip vadinama muzikos grupė, kurioje yra šie nariai: John Deacon, Brian May, Freddie Mercury, Roger Taylor?;Iron Maiden;Van Halen;The Rolling Stones;Queen;Queen
Geografija;1;Jurgis;Kuris miestas yra Portugalijos sostinė?;Barselona;Porto;Lisabona;Sevilija;Lisabona
Įžymybės;10;Aloyzas;Kuris dailininkas nutapė „Vandens lelijas“ 1899?;Vincent Van Gogh;Henri Matisse;Claude Monet;Edward Hopper;Claude Monet
Sportas;10;Martynas;Kurį sportinį žaidimą išrado James Naismith 1891?;Tinklinį;Futbolą;Krepšinį;Vandensvydį;Krepšinį
Mokslas;3;Aloyzas;Suapvalinus iki 1 procento tikslumo, kokią procentinę dalį Saulės sistemos masės sudaro Saulė?;99;86;43;12;99
Geografija;9;Jurgis;Kurios šalies sostinė yra Beirutas?;Jordanijos;Libano;Irako;Irano;Libano
Įžymybės;4;Antanas;Kas režisavo filmą „Pulp Fiction“?;Steven Spielberg;Tim Burton;Quentin Tarantino;George Lucas;Quentin Tarantino
Geografija;6;Antanas;Kuris miestas yra Peru sostinė?;Santjagas;Buenos Airės;Lima;Rio De Žaneiras;Lima
Mokslas;1;Martynas;Kuris gyvūnas yra genetiškai artimiausias žmonėms?;Pelė;Arklys;Katė;Šimpanzė;Šimpanzė
Mokslas;7;Aloyzas;Koks yra aukso cheminis simbolis?;Ag;Ir;Fe;Au;Au
